"","country","week","sex","avAbNumber","avCrRate","avStRate","avDifAbs","avDifCrRate","avDifStRate","regCrRate","regStRate","actCrRate","actStRate","regDifAbs","regDifCrRate","regDifStRate"
"3408","Netherlands",44,"both",2791.2,0.00847038234538751,0.00928489080091235,895.8,0.00253954471076229,0.00225695098379824,0.00844558908716216,0.00881398830414565,0.0110099270561498,0.0115418417847106,853.799999999999,0.00256433796898764,0.00272785348056495
"3409","Netherlands",45,"male",1386.4,0.00847614794590205,0.0109458901975519,469.6,0.00267755022662655,0.00262024837097928,0.00923004333907768,0.0112776306054511,0.0111536981725286,0.0135661385685311,319.299999999988,0.00192365483345092,0.00228850796307999
"3410","Netherlands",45,"female",1457.4,0.00877857754049187,0.00829300635468204,275.6,0.00150766886363903,0.00108025185590174,0.00867428931918729,0.00795152246447281,0.0102862464041309,0.00937325821058378,269.299999999998,0.00161195708494361,0.00142173574611097
"3411","Netherlands",45,"both",2843.8,0.00862866444830541,0.00944143918079327,745.2,0.00208862012031999,0.00177747710837927,0.0089499760884586,0.00939332904893785,0.0107172845686254,0.0112189162891725,588.599999999977,0.0017673084801668,0.0018255872402347
"3412","Netherlands",46,"male",1390.8,0.00850447033368438,0.0109852988176742,411.2,0.00232471291356592,0.00231361637220558,0.00892585618420982,0.0109452150320529,0.0108291832472503,0.0132989151898798,315.19999999999,0.00190332706304048,0.00235370015782696
"3413","Netherlands",46,"female",1458.2,0.00878068287161243,0.00827901156765714,319.8,0.00177266167919247,0.00134372681967804,0.00944854681125873,0.00868529548442754,0.0105533445508049,0.00962273838733517,185.699999999983,0.00110479773954617,0.000937442902907639
"3414","Netherlands",46,"both",2849,0.00864358133795139,0.00946099877359221,731,0.00204682790018701,0.00174517970469445,0.00918911475853956,0.0096540547449272,0.0106904092381384,0.0112061784782867,500.899999999965,0.00150129447959884,0.00155212373335946
"3415","Netherlands",47,"male",1399.6,0.00855953577772408,0.0111076761137704,304.4,0.00168071297550262,0.00130801150153905,0.00870142973786966,0.0105639470933038,0.0102402487532267,0.0124156876153094,254.299999999996,0.00153881901535704,0.0018517405220056
"3416","Netherlands",47,"female",1503.8,0.0090568056965098,0.00855185006339587,127.2,0.000624018241826937,0.000298617212265871,0.00928810274239739,0.00848682028104734,0.00968082393833674,0.00885046727566174,64.1999999999898,0.000392721195939354,0.000363646994614403
"3417","Netherlands",47,"both",2903.4,0.00881006315874043,0.00965113282302277,431.6,0.00114873986058684,0.000749190512834737,0.00899651814441929,0.00943180080153461,0.00995880301932727,0.0104003233358575,318.5,0.000962284874907978,0.0009685225343229
"3418","Netherlands",48,"male",1431,0.00875049955053916,0.0113408956030221,304,0.00167604480793984,0.00129488241358285,0.00914153408225632,0.0110539800943446,0.010426544358479,0.012635778016605,212.499999999985,0.00128501027622268,0.00158179792226037
"3419","Netherlands",48,"female",1470.6,0.00885628461464169,0.00835249405745581,199.4,0.00105602438414578,0.000687912765139779,0.0092570554081497,0.00847807159939132,0.00991230899878747,0.00904040682259559,109.099999999984,0.000655253590637775,0.00056233522320427
"3420","Netherlands",48,"both",2901.6,0.00880379902571392,0.00964090358409715,503.4,0.00136403434184508,0.0009905092860406,0.00919965388524735,0.00965323609614076,0.010167833367559,0.0106314128701378,321.599999999977,0.00096817948231165,0.000978176773996989
"3421","Netherlands",49,"male",1445,0.00883655347401715,0.011475528514124,325,0.00180032463232745,0.00137775484362767,0.00913838483676402,0.0111263796522317,0.0106368781063446,0.0128532833577517,248.19999999999,0.00149849326958058,0.00172690370552
"3422","Netherlands",49,"female",1518.4,0.00914502909708413,0.00862349535106579,241.6,0.00130147619505117,0.000905082848476471,0.0093281894322147,0.00854569083012566,0.0104465052921353,0.00952857819954226,186.999999999993,0.00111831585992061,0.0009828873694166
"3423","Netherlands",49,"both",2963.4,0.0089919912517387,0.0098402326589174,566.6,0.00154911059480561,0.00117978055240536,0.00923379493322884,0.00969374878325532,0.0105411018465443,0.0110200132113228,435.199999999983,0.00130730691331546,0.00132626442806743
"3424","Netherlands",50,"male",1514.4,0.00926090007115005,0.0120053918115215,335.6,0.00185674088745875,0.00154855135513817,0.00959031180758971,0.0116391761474255,0.0111176409586088,0.0135539431666597,253.099999999984,0.00152732915101909,0.00191476701923421
"3425","Netherlands",50,"female",1561,0.00940129382650014,0.00886391026847686,204,0.00107488903748786,0.000709794727422403,0.00966854847560505,0.00888133782121053,0.010476182863988,0.00957370499589926,134.69999999999,0.000807634388382945,0.00069236717468873
"3426","Netherlands",50,"both",3075.4,0.00933164666238753,0.0102154014210437,539.6,0.00146327774986677,0.00107846095455532,0.00962957115740637,0.0100795783160132,0.0107949244122543,0.011293862375599,387.799999999988,0.00116535325484793,0.00121428405958576
"3427","Netherlands",51,"male",1483.4,0.00907025026787444,0.0118148773083247,471.6,0.00267839193433106,0.0026291317039747,0.0096217149618798,0.0118377478046149,0.0117486422022055,0.0144440090122994,352.199999999983,0.0021269272403257,0.0026062612076845
